80
Adamenko,92,60,80,82,67,70,
Bazir,95,85,92,77,81,TRUE
Bovsunivskii,69,89,95,98,93,FALSE
Bondar,81,86,96,82,72,FALSE
Bondar,93,98,85,93,94,0,TRUE
Bugaiov,84,71,98,76,68,75,
Valigura,85,74,61,61,77,TRUE
Vasiuk,101,64,80,85,73,TRUE
Velichko,75,64,99,99,91,TRUE
Vereshchak,79,95,94,97,62,FALSE
Vinnitskii,66,72,68,95,88,FALSE
Vikhliaiev,85,67,72,63,71,FALSE
Vovk,98,65,92,73,99,FALSE
Gordiienko,75,91,68,62,90,FALSE
Grab,83,64,68,94,93,FALSE
Guk,70,69,84,95,66,TRUE
Drozdovich,88,79,85,65,74,TRUE
Dubinskii,84,65,85,74,95,FALSE
Ievtushenko,77,69,87,67,82,TRUE
Zaiets,79,67,98,87,71,FALSE
Zaichenko,75,84,68,90,72,TRUE
Zaichenko,77,84,75,82,81,FALSE
Zgurovskii,81,76,74,97,74,FALSE
Znakharenko,63,85,64,90,67,TRUE
Zozulia,87,69,63,68,89,FALSE
Kalenik,97,74,96,71,61,TRUE
Kalinichenko,69,101,64,101,88,TRUE
Karpa,64,65,99,94,65,TRUE
Kershkov,85,97,84,97,81,FALSE
Kibko,91,99,89,99,62,TRUE
Kovalyov,77,99,68,61,81,TRUE
Kozar,60,62,63,63,77,TRUE
Korolyova,95,82,60,65,79,TRUE
Kostiaiev,70,75,100,63,71,TRUE
Kotiai,96,94,96,77,70,TRUE
Koshovets,98,98,96,85,60,TRUE
Kushch,87,62,95,81,68,FALSE
Leizyo,97,66,66,66,60,FALSE
Linnik,81,63,76,62,73,FALSE
Litvinchuk,97,75,86,94,65,FALSE
Lisogor,81,98,96,84,83,TRUE
Lutska,99,96,75,65,70,TRUE
Maksai,80,81,100,82,86,FALSE
Mamuta,70,90,85,71,65,FALSE
Mamchuk,79,93,82,86,101,FALSE
Markushevskii,89,85,100,90,92,TRUE
Mironiuk,85,92,80,70,60,TRUE
Milashevskii,63,90,94,85,85,FALSE
Mishchenko,71,60,69,88,87,FALSE
Movchan,94,76,89,91,65,FALSE
Morozov,75,64,74,96,93,FALSE
Novakov,90,69,79,68,101,TRUE
Opanasenko,91,100,92,73,84,TRUE
Osipenko,75,75,91,69,84,TRUE
Pavlenko,95,100,94,86,82,FALSE
Pavlenko,63,68,69,74,83,FALSE
Parkhomenko,97,71,93,63,90,FALSE
Pechena,94,98,81,77,65,FALSE
Pechenizkii,94,79,94,94,75,TRUE
Pilipenko,89,64,78,62,90,TRUE
Prokopenko,93,96,65,94,64,FALSE
Poroshenko,82,91,71,67,90,FALSE
Sakhniuk,62,84,92,86,94,TRUE
Semchenko,70,84,101,68,62,FALSE
Sienin,77,74,66,80,100,TRUE
Sitnik,70,86,101,63,68,TRUE
Sich,64,100,95,76,83,TRUE
Smishchenko,97,68,74,71,60,FALSE
Sokorenko,93,97,78,65,93,FALSE
Solianikov,79,86,80,71,75,TRUE
Stroivans,64,60,93,88,66,FALSE
Trump,65,62,100,66,101,FALSE
Trokhimenko,87,101,69,96,64,TRUE
Fedorovich,82,92,76,88,93,FALSE
Khalep,91,99,70,78,100,FALSE
Khmelnitskii,96,87,87,60,81,FALSE
Tsaruk,60,76,99,63,73,TRUE
Shatrovskii,90,60,101,89,75,TRUE
Sheludko,90,90,94,93,65,TRUE
Iurchishin,90,85,82,86,101,TRUE
